paragraph, count, polarity, positive, negative
0, 607, 0.124999992188, 9, 7
1, 1743, -0.176470577855, 7, 10
2, 1625, 0.0434782589792, 12, 11
3, 394, 0.24999996875, 5, 3
4, 984, 0.157894728532, 11, 8
5, 547, 0.59999994, 8, 2
6, 799, 0.230769213018, 8, 5
7, 1276, 0.749999953125, 14, 2
8, 961, 0.428571397959, 10, 4
9, 554, -0.333333277778, 2, 4
10, 1010, 0.647058785467, 14, 3
11, 419, 0.0, 4, 4
12, 1245, -0.124999992188, 7, 9
13, 595, 0.333333311111, 10, 5
14, 3472, 0.155555552099, 26, 19
15, 433, 0.333333277778, 4, 2
16, 362, -0.99999975, 0, 4
17, 243, 0.999999666667, 3, 0
18, 123, -0.999999000001, 0, 1
19, 1144, 0.0, 7, 7
20, 878, 0.363636347107, 15, 7
21, 506, 0.142857122449, 4, 3
22, 762, -0.272727247934, 4, 7
23, 669, 0.111111098765, 5, 4
24, 316, -0.24999996875, 3, 5
25, 287, -0.999999000001, 0, 1
26, 243, -0.333333222222, 1, 2
27, 326, 0.166666652778, 7, 5
28, 415, -0.571428530612, 3, 11
29, 700, 0.0666666622222, 8, 7
30, 277, 0.999999666667, 3, 0
31, 143, -0.333333222222, 1, 2
32, 240, -0.19999996, 2, 3
33, 312, 0.0, 3, 3
34, 308, -0.428571367347, 2, 5
35, 507, 0.19999998, 6, 4
36, 647, 0.0, 5, 5
37, 675, -0.38461535503, 4, 9
38, 414, 0.636363578512, 9, 2
39, 204, 0.499999875, 3, 1
40, 241, -0.39999996, 3, 7
41, 332, 0.39999996, 7, 3
42, 482, 0.166666652778, 7, 5
43, 168, 0.333333222222, 2, 1
44, 447, -0.19999996, 2, 3
45, 405, 0.428571367347, 5, 2
46, 124, 0.9999995, 2, 0
